Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
1.0,1.0,36.0,26.0,131.0,20.0,11.0,17.0,80.0,13.0,26.0,75.0,30.0,30.0,98.0,6.0,54.0,143.0,9.0,19.0,79.0,81.0,10.0,14.0,58.0,50.0,68.0,18.0,1.0,171.0,108.0,16.0,114.0,10.0,26.0,116.0,109.0,119.0,138.0,10.0,10.0,26.0,28.0,49.0,10.0,16.0,12.0,83.0,135.0,27.0,45.0
0.0,8.0,77.0,33.0,200.0,21.0,8.0,36.0,176.0,7.0,19.0,144.0,68.0,27.0,171.0,4.0,67.0,220.0,18.0,27.0,104.0,58.0,17.0,22.0,116.0,106.0,77.0,46.0,21.0,129.0,113.0,7.0,185.0,13.0,68.0,7.0,115.0,94.0,94.0,7.0,16.0,33.0,59.0,129.0,10.0,22.0,11.0,30.0,185.0,12.0,101.0
0.0,21.0,58.0,34.0,216.0,18.0,12.0,78.0,92.0,11.0,9.0,112.0,132.0,31.0,95.0,10.0,94.0,83.0,8.0,72.0,132.0,75.0,10.0,6.0,179.0,162.0,192.0,101.0,26.0,149.0,46.0,4.0,225.0,23.0,75.0,182.0,136.0,125.0,139.0,11.0,36.0,72.0,24.0,222.0,12.0,57.0,12.0,31.0,172.0,20.0,156.0
0.0,0.0,56.0,16.0,40.0,25.0,10.0,26.0,169.0,4.0,7.0,140.0,157.0,41.0,56.0,13.0,55.0,57.0,6.0,51.0,122.0,84.0,23.0,2.0,82.0,168.0,148.0,63.0,46.0,103.0,35.0,1.0,71.0,40.0,90.0,109.0,33.0,86.0,64.0,11.0,23.0,49.0,31.0,122.0,22.0,51.0,6.0,28.0,76.0,19.0,144.0
0.0,9.0,38.0,37.0,0.0,76.0,1.0,40.0,0.0,8.0,27.0,49.0,83.0,17.0,1.0,17.0,160.0,0.0,5.0,47.0,98.0,89.0,21.0,4.0,5.0,44.0,4.0,73.0,52.0,0.0,44.0,1.0,0.0,37.0,100.0,0.0,7.0,63.0,0.0,13.0,20.0,38.0,31.0,0.0,13.0,23.0,9.0,28.0,0.0,16.0,2.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
0.0,0.0,45.0,34.0,0.0,7.0,12.0,41.0,0.0,8.0,20.0,0.0,40.0,0.0,6.0,9.0,156.0,0.0,9.0,13.0,54.0,80.0,17.0,7.0,0.0,0.0,0.0,30.0,0.0,0.0,50.0,1.0,0.0,39.0,41.0,0.0,7.0,0.0,0.0,6.0,40.0,46.0,27.0,0.0,13.0,26.0,9.0,34.0,0.0,16.0,0.0
0.0,0.0,37.0,37.0,0.0,31.0,11.0,34.0,0.0,14.0,30.0,0.0,0.0,0.0,2.0,9.0,19.0,0.0,9.0,23.0,0.0,94.0,15.0,4.0,0.0,0.0,0.0,0.0,24.0,0.0,20.0,7.0,0.0,26.0,0.0,0.0,5.0,0.0,0.0,13.0,15.0,8.0,9.0,0.0,6.0,33.0,10.0,7.0,0.0,16.0,0.0
0.0,7.0,0.0,27.0,0.0,140.0,0.0,24.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,78.0,15.0,6.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,13.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,1.0,5.0,0.0,11.0,21.0,0.0,17.0,0.0,21.0,0.0
0.0,28.0,0.0,30.0,0.0,9.0,9.0,31.0,0.0,4.0,23.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,49.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,19.0,0.0,0.0,7.0,0.0,15.0,26.0,0.0,13.0,0.0,13.0,0.0
0.0,3.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,6.0,5.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,69.0,3.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,6.0,0.0,14.0,30.0,0.0,0.0,0.0,15.0,0.0
Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
8.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,1.0,14.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,46.0,1.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,8.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,11.0,0.0,0.0,19.0,0.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,22.0,24.0,0.0,8.0,0.0,1.0,0.0,0.0,15.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,45.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,47.0,0.0,0.0,20.0,0.0,2.0,15.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,33.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,2.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,23.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,5.0,0.0,0.0,23.0,0.0,0.0,12.0,0.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0

Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
0.0,0.0,54.0,34.0,56.0,8.0,7.0,28.0,41.0,5.0,12.0,57.0,19.0,0.0,36.0,10.0,39.0,45.0,5.0,7.0,20.0,48.0,9.0,2.0,30.0,31.0,49.0,28.0,0.0,0.0,52.0,10.0,92.0,11.0,9.0,62.0,52.0,21.0,39.0,7.0,0.0,3.0,2.0,0.0,6.0,14.0,2.0,50.0,12.0,25.0,57.0
0.0,0.0,27.0,54.0,27.0,40.0,4.0,32.0,0.0,0.0,31.0,55.0,45.0,0.0,0.0,4.0,7.0,0.0,0.0,5.0,22.0,17.0,14.0,8.0,61.0,50.0,29.0,63.0,16.0,31.0,24.0,3.0,14.0,4.0,24.0,195.0,106.0,34.0,52.0,12.0,10.0,3.0,5.0,0.0,9.0,14.0,0.0,4.0,29.0,1.0,85.0
0.0,19.0,33.0,34.0,0.0,8.0,2.0,29.0,21.0,0.0,22.0,54.0,0.0,0.0,0.0,4.0,0.0,68.0,15.0,12.0,19.0,0.0,9.0,0.0,13.0,30.0,23.0,21.0,15.0,0.0,6.0,1.0,0.0,10.0,0.0,37.0,0.0,36.0,0.0,11.0,1.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,52.0,3.0,0.0
0.0,0.0,48.0,7.0,0.0,25.0,1.0,19.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,15.0,15.0,15.0,0.0,8.0,0.0,3.0,19.0,26.0,32.0,15.0,0.0,4.0,1.0,37.0,11.0,99.0,0.0,0.0,70.0,34.0,14.0,3.0,1.0,0.0,0.0,6.0,4.0,0.0,1.0,13.0,9.0,19.0
0.0,2.0,40.0,19.0,0.0,26.0,0.0,9.0,0.0,0.0,7.0,0.0,59.0,4.0,0.0,2.0,17.0,0.0,13.0,9.0,14.0,0.0,9.0,0.0,0.0,0.0,0.0,31.0,5.0,0.0,5.0,1.0,0.0,7.0,55.0,0.0,0.0,36.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,7.0,0.0,1.0,0.0,2.0,0.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
0.0,0.0,43.0,46.0,0.0,0.0,0.0,18.0,0.0,0.0,4.0,0.0,31.0,14.0,1.0,2.0,11.0,0.0,10.0,39.0,28.0,3.0,11.0,3.0,0.0,0.0,0.0,19.0,0.0,0.0,9.0,1.0,0.0,11.0,39.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,29.0,2.0,48.0,0.0,34.0,0.0
0.0,13.0,57.0,64.0,0.0,24.0,16.0,30.0,0.0,0.0,14.0,0.0,0.0,62.0,0.0,1.0,0.0,0.0,14.0,43.0,0.0,4.0,11.0,1.0,0.0,0.0,0.0,11.0,20.0,0.0,35.0,4.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,15.0,11.0,25.0,28.0,0.0,12.0,37.0,8.0,180.0,0.0,23.0,0.0
0.0,7.0,0.0,32.0,0.0,40.0,14.0,56.0,0.0,10.0,46.0,0.0,0.0,19.0,0.0,2.0,0.0,0.0,11.0,61.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,27.0,0.0,51.0,17.0,0.0,32.0,0.0,0.0,5.0,0.0,0.0,16.0,34.0,73.0,29.0,0.0,14.0,34.0,12.0,91.0,0.0,30.0,0.0
0.0,44.0,0.0,27.0,0.0,23.0,11.0,41.0,0.0,5.0,27.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,34.0,62.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,22.0,0.0,0.0,5.0,0.0,0.0,20.0,29.0,43.0,23.0,0.0,10.0,113.0,13.0,38.0,0.0,25.0,0.0
0.0,0.0,0.0,0.0,0.0,30.0,8.0,0.0,0.0,13.0,17.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,53.0,55.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,67.0,28.0,0.0,8.0,122.0,12.0,0.0,0.0,59.0,0.0
Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
