Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
1.0,14.0,32.0,43.0,22.0,7.0,14.0,17.0,159.0,77.0,21.0,135.0,28.0,35.0,128.0,30.0,86.0,149.0,41.0,101.0,93.0,14.0,22.0,13.0,152.0,185.0,1.0,28.0,142.0,210.0,207.0,120.0,44.0,63.0,63.0,1.0,63.0,12.0,244.0,79.0,75.0,13.0,134.0,30.0,26.0,60.0,129.0,162.0,206.0,241.0,37.0
0.0,17.0,50.0,57.0,195.0,7.0,124.0,18.0,102.0,100.0,128.0,213.0,37.0,74.0,177.0,24.0,27.0,184.0,19.0,138.0,232.0,18.0,0.0,2.0,281.0,201.0,0.0,29.0,263.0,181.0,203.0,160.0,44.0,215.0,67.0,2.0,91.0,0.0,236.0,71.0,111.0,18.0,162.0,39.0,30.0,77.0,233.0,174.0,278.0,250.0,80.0
0.0,27.0,152.0,49.0,260.0,20.0,113.0,44.0,183.0,138.0,169.0,173.0,45.0,60.0,100.0,30.0,22.0,171.0,29.0,188.0,207.0,21.0,171.0,3.0,130.0,64.0,14.0,45.0,249.0,220.0,194.0,151.0,93.0,319.0,110.0,9.0,148.0,6.0,186.0,47.0,77.0,53.0,187.0,46.0,29.0,75.0,215.0,177.0,109.0,185.0,182.0
0.0,27.0,109.0,17.0,104.0,14.0,155.0,34.0,131.0,140.0,156.0,50.0,49.0,104.0,168.0,25.0,30.0,0.0,16.0,123.0,0.0,19.0,181.0,34.0,0.0,0.0,122.0,47.0,0.0,0.0,38.0,31.0,286.0,54.0,97.0,29.0,138.0,5.0,0.0,38.0,58.0,24.0,59.0,51.0,25.0,63.0,0.0,111.0,0.0,0.0,222.0
0.0,16.0,167.0,0.0,0.0,13.0,129.0,39.0,0.0,102.0,76.0,0.0,42.0,43.0,15.0,27.0,26.0,0.0,9.0,0.0,0.0,23.0,136.0,46.0,0.0,0.0,168.0,44.0,0.0,0.0,0.0,0.0,104.0,0.0,94.0,78.0,108.0,4.0,0.0,44.0,82.0,13.0,0.0,51.0,36.0,96.0,0.0,0.0,0.0,0.0,132.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
0.0,0.0,0.0,0.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,41.0,0.0,27.0,20.0,0.0,22.0,0.0,0.0,26.0,19.0,20.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,7.0,0.0,38.0,66.0,7.0,0.0,27.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,18.0,27.0,0.0,19.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0,0.0,7.0,0.0,15.0,0.0,17.0,0.0,9.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,4.0,0.0,18.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,26.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
