Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
0.0,0.0,7.0,155.0,3.0,3.0,1.0,1.0,2.0,6.0,2.0,3.0,9.0,0.0,0.0,0.0,14.0,29.0,2.0,0.0,54.0,0.0,7.0,7.0,15.0,74.0,0.0,1.0,0.0,16.0,0.0,39.0,2.0,4.0,3.0,0.0,4.0,2.0,16.0,3.0,32.0,1.0,10.0,10.0,0.0,1.0,4.0,0.0,0.0,12.0,1.0
0.0,8.0,11.0,161.0,1.0,1.0,33.0,8.0,0.0,23.0,35.0,0.0,17.0,0.0,0.0,3.0,2.0,26.0,2.0,9.0,39.0,1.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,30.0,0.0,57.0,5.0,0.0,5.0,1.0,14.0,0.0,17.0,0.0,22.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,24.0,3.0
0.0,1.0,17.0,163.0,0.0,3.0,23.0,10.0,0.0,24.0,32.0,0.0,42.0,0.0,0.0,0.0,1.0,31.0,2.0,2.0,55.0,0.0,30.0,2.0,0.0,12.0,1.0,0.0,0.0,15.0,0.0,50.0,18.0,0.0,3.0,1.0,12.0,0.0,24.0,0.0,42.0,11.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,4.0,7.0
0.0,5.0,21.0,60.0,0.0,8.0,38.0,12.0,0.0,35.0,30.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,32.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,38.0,0.0,17.0,0.0,35.0,0.0,0.0,0.0,27.0,17.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
0.0,1.0,24.0,0.0,0.0,26.0,28.0,13.0,0.0,12.0,19.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,9.0,0.0,0.0,0.0,22.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,19.0,3.0,0.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,20.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
