Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
25.0,7.0,1.0,8.0,29.0,23.0,1.0,5.0,1.0,30.0,10.0,15.0,7.0,1.0,4.0,1.0,32.0,5.0,7.0,5.0,7.0,21.0,4.0,5.0,18.0,42.0,4.0,25.0,9.0,3.0,17.0,7.0,2.0,5.0,24.0,1.0,38.0,31.0,4.0,4.0,25.0,22.0,3.0,7.0,3.0,1.0,1.0,5.0,33.0,5.0
43.0,14.0,1.0,8.0,36.0,24.0,8.0,3.0,0.0,41.0,11.0,41.0,21.0,1.0,5.0,0.0,32.0,3.0,36.0,17.0,7.0,25.0,13.0,3.0,20.0,33.0,8.0,45.0,25.0,6.0,0.0,3.0,0.0,6.0,29.0,4.0,25.0,45.0,0.0,6.0,8.0,37.0,1.0,4.0,1.0,0.0,16.0,3.0,29.0,4.0
45.0,10.0,1.0,10.0,51.0,24.0,57.0,1.0,7.0,23.0,16.0,46.0,12.0,3.0,5.0,9.0,41.0,4.0,29.0,23.0,8.0,40.0,21.0,2.0,18.0,38.0,7.0,46.0,20.0,6.0,0.0,6.0,1.0,1.0,34.0,23.0,42.0,43.0,2.0,12.0,10.0,43.0,3.0,3.0,3.0,0.0,12.0,13.0,14.0,1.0
45.0,0.0,1.0,11.0,51.0,25.0,60.0,3.0,0.0,29.0,8.0,47.0,20.0,0.0,4.0,10.0,33.0,3.0,46.0,51.0,11.0,24.0,7.0,9.0,21.0,4.0,1.0,45.0,29.0,5.0,0.0,8.0,0.0,7.0,40.0,27.0,42.0,36.0,1.0,8.0,29.0,43.0,10.0,4.0,3.0,0.0,39.0,15.0,34.0,2.0
42.0,0.0,3.0,16.0,50.0,15.0,66.0,6.0,33.0,39.0,18.0,42.0,15.0,7.0,11.0,17.0,36.0,6.0,52.0,21.0,11.0,10.0,17.0,26.0,26.0,25.0,9.0,43.0,12.0,14.0,0.0,6.0,1.0,8.0,42.0,30.0,35.0,37.0,1.0,23.0,15.0,46.0,7.0,1.0,3.0,14.0,24.0,27.0,26.0,8.0
32.0,13.0,6.0,14.0,58.0,21.0,39.0,5.0,32.0,46.0,12.0,28.0,14.0,5.0,5.0,18.0,40.0,6.0,51.0,49.0,15.0,19.0,22.0,12.0,43.0,27.0,9.0,47.0,12.0,14.0,0.0,6.0,3.0,8.0,43.0,35.0,36.0,44.0,3.0,25.0,32.0,48.0,7.0,3.0,3.0,14.0,28.0,32.0,31.0,2.0
28.0,24.0,11.0,9.0,49.0,26.0,38.0,7.0,29.0,30.0,12.0,46.0,5.0,4.0,14.0,22.0,39.0,3.0,52.0,46.0,14.0,12.0,10.0,12.0,31.0,14.0,8.0,52.0,6.0,32.0,5.0,5.0,4.0,6.0,32.0,37.0,45.0,31.0,5.0,17.0,31.0,43.0,5.0,4.0,4.0,32.0,9.0,32.0,30.0,3.0
42.0,12.0,16.0,13.0,48.0,18.0,42.0,11.0,33.0,37.0,9.0,46.0,12.0,3.0,11.0,40.0,26.0,7.0,56.0,31.0,18.0,13.0,27.0,11.0,21.0,36.0,8.0,44.0,39.0,26.0,44.0,3.0,0.0,7.0,41.0,45.0,29.0,43.0,4.0,25.0,35.0,44.0,7.0,5.0,4.0,28.0,16.0,27.0,25.0,4.0
39.0,15.0,2.0,17.0,48.0,16.0,40.0,5.0,35.0,37.0,10.0,42.0,5.0,7.0,20.0,26.0,43.0,5.0,60.0,59.0,6.0,11.0,12.0,21.0,46.0,18.0,10.0,28.0,44.0,29.0,4.0,2.0,1.0,7.0,39.0,37.0,46.0,31.0,3.0,24.0,20.0,43.0,5.0,5.0,4.0,31.0,21.0,27.0,26.0,2.0
45.0,3.0,6.0,19.0,41.0,22.0,35.0,4.0,15.0,22.0,14.0,45.0,17.0,5.0,18.0,24.0,36.0,7.0,56.0,59.0,18.0,7.0,19.0,12.0,51.0,26.0,10.0,53.0,38.0,51.0,22.0,2.0,9.0,7.0,40.0,55.0,36.0,44.0,3.0,23.0,33.0,43.0,10.0,6.0,4.0,22.0,25.0,26.0,27.0,4.0
