Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
1.0,130.0,28.0,4.0,30.0,40.0,87.0,11.0,9.0,89.0,22.0,18.0,20.0,28.0,22.0,20.0,16.0,78.0,44.0,76.0,108.0,16.0,100.0,17.0,19.0,71.0,5.0,38.0,34.0,114.0,56.0,31.0,37.0,114.0,17.0,202.0,75.0,47.0,55.0,78.0,58.0,73.0,38.0,46.0,30.0,17.0,86.0,14.0,17.0,33.0
0.0,107.0,95.0,24.0,0.0,68.0,41.0,7.0,10.0,145.0,29.0,22.0,18.0,41.0,12.0,21.0,49.0,102.0,122.0,120.0,106.0,83.0,175.0,20.0,17.0,31.0,7.0,57.0,13.0,119.0,51.0,67.0,38.0,155.0,6.0,155.0,211.0,16.0,34.0,10.0,68.0,59.0,81.0,61.0,33.0,9.0,36.0,36.0,6.0,19.0
0.0,67.0,97.0,26.0,43.0,61.0,108.0,3.0,13.0,163.0,23.0,35.0,14.0,37.0,19.0,51.0,42.0,59.0,154.0,169.0,116.0,93.0,173.0,24.0,21.0,25.0,26.0,83.0,15.0,124.0,80.0,22.0,51.0,130.0,12.0,140.0,23.0,31.0,27.0,193.0,111.0,54.0,58.0,75.0,96.0,28.0,21.0,150.0,14.0,22.0
0.0,0.0,136.0,50.0,30.0,9.0,68.0,4.0,13.0,110.0,37.0,66.0,17.0,21.0,30.0,35.0,125.0,64.0,48.0,142.0,102.0,35.0,147.0,23.0,31.0,23.0,15.0,71.0,22.0,106.0,89.0,135.0,51.0,89.0,21.0,42.0,166.0,12.0,19.0,201.0,112.0,57.0,49.0,27.0,130.0,48.0,29.0,72.0,12.0,16.0
0.0,0.0,72.0,0.0,78.0,9.0,110.0,3.0,14.0,0.0,103.0,157.0,12.0,47.0,32.0,33.0,39.0,112.0,35.0,0.0,63.0,26.0,0.0,32.0,21.0,33.0,53.0,80.0,49.0,90.0,171.0,108.0,72.0,38.0,25.0,0.0,4.0,32.0,17.0,0.0,105.0,0.0,86.0,26.0,102.0,77.0,32.0,118.0,1.0,30.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
0.0,0.0,0.0,0.0,39.0,11.0,26.0,6.0,30.0,0.0,120.0,0.0,15.0,30.0,20.0,26.0,30.0,55.0,11.0,0.0,18.0,10.0,0.0,31.0,25.0,28.0,0.0,90.0,8.0,0.0,4.0,0.0,50.0,12.0,20.0,0.0,0.0,17.0,36.0,0.0,47.0,0.0,0.0,0.0,82.0,83.0,7.0,54.0,4.0,9.0
0.0,0.0,0.0,0.0,23.0,4.0,19.0,6.0,8.0,0.0,0.0,0.0,12.0,0.0,27.0,9.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,11.0,41.0,0.0,48.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,96.0,12.0,6.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,22.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,25.0,44.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,18.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
0.0,0.0,0.0,20.0,0.0,15.0,0.0,7.0,8.0,0.0,0.0,0.0,8.0,0.0,33.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,12.0
0.0,0.0,0.0,4.0,0.0,12.0,0.0,2.0,13.0,0.0,0.0,0.0,3.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,13.0,10.0
0.0,0.0,0.0,10.0,0.0,91.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,5.0
0.0,0.0,0.0,13.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0
